gid,clave_de_centro_de_trabajo,nombre_de_centro_de_trabajo,latitud,longitud,tipo_de_vialidad,nombre_de_calle,numero_exterior,numero_interior,nombre_del_proveedor_mc,tipo_de_conectividad,estatus
100441,09DJN0044V,PROFESOR JOSÉ REFUGIO BELIO MERCADO,19.345888,-99.102297,CALLE,ILHUILCAMINA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
100440,09DJN1373U,RAMÓN DE LA FUENTE MUÑIZ,19.335754,-99.06849,CALLE,IZTACCIHUATL,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
100439,09NDI0646Y,GUSANITO FELIZ,19.350333,-99.109542,CALLE,SILOS Y GANADEROS,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
100438,09NDI0503A,CENTRO DE DESARROLLO INFANTIL GOBIERNO DEL DISTRITO FEDERAL SIFON,19.377804,-99.110827,AVENIDA,DEL ROSAL Y STA. MARIA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
100437,09DJN1138Q,DOCTOR LUIS CASTELAZO AYALA,19.39628983,-99.04955292,CALLE,GENERAL JOSE T. SALGADO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
100436,09DJN0782R,IGNACIO RAMIREZ,19.392703,-99.043223,CALLE,GENERAL FELIPE DE LA GARZA,251,SIN NÚMERO,TOTAL PLAY,TERRESTRE,INSTALADO
100435,09DJN0738D,HEROES DEL MOLINO DEL REY,19.39782143,-99.05606842,CALLE,JULIAN DE LOS REYES,14,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
100434,09DJN0435J,ISRAEL,19.355465,-99.12015,CALLE,SOJA,71,SIN NÚMERO,TOTAL PLAY,TERRESTRE,INSTALADO
100433,09DJN0388P,ANGELICA FLORES DURAN,19.35939407,-99.11053467,EJE VIAL,3 ORIENTE (5),81,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
100432,09DJN0688M,MOCTEZUMA ILHUICAMINA,19.333284,-99.107952,CALLE,VICENTE GUERRERO,45,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
100431,09NDI0358F,CENTRO DE DESARROLLO INFANTIL GOBIERNO DEL DISTRITO FEDERAL IGNACIO ZARAGOZA,19.366792,-99.110209,CALLE,ALFONSO TORO Y JAVIER MARTINEZ,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
100430,09DES4206A,ROBERTO KOCH,19.335175,-99.111729,CALLE,BENITO JUAREZ,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
100429,09DJN0979B,CARL R. ROGERS,19.3286438,-99.07927704,CALLE,VERIN,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,INSTALADO
100428,09DJN0417U,MIGUEL F. MARTÍNEZ,19.357282,-99.090421,CALLE,ESTRELLA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86555,09DPR1286P,HOLANDA,19.353376,-99.111661,CALLE,CULTIVOS NO. 111 COL. PROGRESO DEL SUR NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86554,09DPR1280V,JAPON,19.36646,-99.118451,CALLE,SUR 103 A NO. 624 COLONIA SECTOR POPULAR NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86553,09DPR1273L,JOSÉ MARIANO JIMENEZ,19.347212,-99.04287,CALLE,47 NO. 50 COL. UNIDAD SANTA CRUZ MEYEHUALCO NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86552,09DPR1268Z,JUAN ESCUTIA,19.315468,-99.079257,AVENIDA,JACARANDAS NO. 2 COL. EL VERGEL NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86550,09DPR1263E,LAZARO CARDENAS,19.354427,-99.072745,CALLE,"SAN FELIPE DE JESUS NO. 15, COL. PURISIMA NO.",SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86549,09DPR1254X,LUIS G. MONZÓN,19.344404,-99.067268,AVENIDA,DEL ROSAL NO. 6 COL. LOS ANGELES NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86548,09DPR1252Z,MARTIRES DE LA REFORMA,19.332007,-99.10905,AVENIDA,PRESIDENTE NO. 43 COL. SAN SIMON CULHUACAN NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86545,09DPR1227Z,GRAL. RAMON CORONA,19.377114,-99.132002,CALLE,PLAYA PIE DE LA CUESTA COL. SAN ANDRES TETEPILCO NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86544,09DPR1226A,REFORMA AGRARIA,19.328232,-99.102872,CALLE,HERMANOS WRIGHT NO 75 COL. SAN ANDRES TOMATLAN NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86542,09DPR1190C,VIRGILIO URIBE,19.373808,-99.118503,CALLE,CALZ. SAN JUANICO NO. 20 COL. SAN JUANICO MEXTIPAC NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86540,09DPR1181V,BEATRIZ VELASCO DE ALEMAN,19.367023,-99.110878,CALLE,ALFONSO TORO NO.1712 NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86539,09DPR1177I,JUANA DE ASBAJE,19.36707,-99.111331,CALLE,ALFONSO TORO NO.1714 COLONIA ESCUADRON 201 NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86536,09DPR1155X,AUSTRALIA,19.37923,-99.070221,CALLE,BATALLA DE LOMA ALTA NO 37 COL LEYES DE REFORMA NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86535,09DPR1150B,PRESIDENTE ADOLFO LOPEZ MATEOS,19.36807,-99.103387,CALLE,12 NO.79 COLONIA GRANJAS SAN ANTONIO NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86534,09DPR1146P,ALBINO GARCÍA,19.345373,-99.037926,CALLE,25 Y 2 COLONIA SANTA CRUZ MEYEHUALCO NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86528,09DPR1086R,PARQUE REGIONAL METROPOLITANO,19.399074,-99.056774,CALLE,GRAL. MANUEL CEPEDA PERAZA NO. 41 COL. JUAN ESCUTIA NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86521,09DPR1076K,JOSÉ MARÍA MERCADO,19.395102,-99.048363,CALLE,GENERAL JUAN ENRIQUEZ # 253 COL. JUAN ESCUTIA NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86513,09DPR1013Z,U. R. S. S.,19.393086,-99.057333,AVENIDA,CENTRAL NUM 81 COLONIA TEPALCATES NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86512,09DPR1009M,VOCEADORES DE MÉXICO,19.387494,-99.032743,CALLE,5A.CDA.DE JUAN ENRIQUEZ NO.33 COLONIA JUAN ESCUTIA NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86510,09DPR1002T,PROFESOR BRAULIO RODRIGUEZ,19.383631,-99.029912,CALLE,BALBANERA NO. 4 COL. SAN LORENZO XICOTENCATL NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,IMPLEMENTADO
86505,09DPR0963R,PINTOR GERARDO MURILLO,19.392924,-99.043606,CALLE,GRAL. FELIPE DE LA GARZA NO. 253 COL. JUAN ESCUTIA NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86496,09DPR0871A,JOSÉ VASCONCELOS,19.342189,-99.059293,CALLE,LIRIO COL. LOS ANGELES APANOYA NO. 14,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86495,09DPR0858G,PROFESOR ANGEL SALAS BONILLA,19.340063,-99.049667,CALLE,VERGEL COLONIA SANTA CRUZ MEYEHUALCO NO. 6,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86484,09DPR0127U,PROFESOR JOSÉ GONZÁLEZ VILLASEÑOR,19.332457,-99.038414,CALLE,JUSTO SIERRA COL. LOMAS DE SANTA CRUZ NO. 8,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86478,09DPR0113R,J. CONCEPCION RIVERA,19.356421,-99.031196,CALLE,20 DE NOVIEMBRE COLONIA SANTA MARIA AZTAHUACAN NO. 35,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86477,09DPR0110U,PROFESOR EFRAIN BONILLA MANZANO,19.362444,-99.010997,CALLE,FRANCISCO I. MADERO COL. SANTA MARTHA ACATITLA NO. 4,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,IMPLEMENTADO
86473,09DPR3300F,PROFESOR MANUEL ALCALA MARTÍN,19.345814,-99.07499,CALLE,FELIPE MONTERO COL PARAJE SAN JUAN NO. 3,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86472,09DPR0103K,PROFESOR ANTONI CEDEÑO,19.329863,-99.051101,CALLE,CANAL DE SUEZ COL. HANK GONZALEZ NO. 83,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86461,09DPR0010V,PROFESOR VICENTE MORA,19.302776,-99.082736,CALLE,12,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86458,09FMB0002M,CENTRO DE MAESTROS BENITO SOLÍS LUNA,19.352044,-99.09114,CAMINO,"CAMINO CERRO DE LA ESTRELLA SN, CENTRO COMUNITARIO COLONIA EL SANTUARIO NO.",SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86457,09DML0130Q,CAM 11,19.325122,-99.050564,CALLE,BENITO JUAREZ Y CHIMALPOPOCA COLONIA MIXCOATL NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86456,09DML0128B,CAM NO. 71,19.352047,-99.091231,CAMINO,CAMINO AL CERRO DE LA ESTRELLA EDIF. 5 COLONIA EL SANTUARIO NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86441,09DML0040Y,CAM HELLEN KELLER,19.352044,-99.09114,CAMINO,CAMINO AL CERRO DE LA ESTRELLA COLONIA EL SANTUARIO NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86440,09DML0038J,CAM 29 PEDRO PONCE DE LEON,19.385038,-99.038654,CALLE,EMILIO AZCARRAGA VIDAURRETA Y GUELATAO COLONIA UNIDAD HABITACIONAL IGNACIO ZARAGOZA NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86425,09DES4226O,ESTADO DE VERACRUZ,19.326834,-99.100185,CALLE,EMILIANO ZAPATA ESQ. TLAHUAC COLONIA SANTA MARIA TOMATLAN NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86422,09DES0318D,XALPA,19.344834,-99.016307,CALLE,PISCIS Y LEMUS COLONIA XALPA NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86419,09DES0303B,FRIDA KAHLO,19.383792,-99.044279,CALLE,GRAN DECADA NACIONAL COLONIA UNIDAD HABITACIONAL IGNACIO ZARAGOZA NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,IMPLEMENTADO
86417,09DES0287A,JULIO VERNE,19.333637,-99.051151,CALLE,PLATON SANCHEZ Y CLAVEL COLONIA LAS PE NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86408,09DES0206Z,ROBERTO KOCH,19.335175,-99.111729,CALLE,BENITO JUÁREZ,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,IMPLEMENTADO
86406,09DES0201E,CARLOS CHAVEZ RAMIREZ,19.388685,-99.058679,AVENIDA,TEPALCATES SMANZ.II U.H COLONIA UNIDAD HABITACIONAL EJERCITO CONSTITUCIONALISTA NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86405,09DES0198H,LUIS PASTEUR,19.356015,-99.032822,CALLE,PLAN DE AYALA Y HERMINIO CHAVARRIA COLONIA SANTA MARIA AZTAHUACAN NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86403,09DES0182G,ALEXIS CARRELL,19.346507,-99.051357,CALLE,ING. GONZALEZ CAMARENA COLONIA JACARANDAS NO. 103,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,IMPLEMENTADO
86394,09DES0132Z,JAPON,19.34164,-99.048686,CALLE,5 DE MAYO Y VERGEL COLONIA SANTA CRUZ MEYEHUALCO NO. 30,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86387,09DES0098I,FEDERICO FROEBEL,19.347026,-99.044483,AVENIDA,6 Y 55 COLONIA SANTA CRUZ MEYEHUALCO NO.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86383,09DES0079U,REPÚBLICA DE CHILE,19.355589,-99.121518,CALLE,CALZ. DE LA VIGA COLONIA MEXICALTZINGO NO. 1916,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,IMPLEMENTADO
86374,09DPR2822F,BANDERA NACIONAL,19.359104,-99.118387,CALLE,SUR N° 107-A COL MEXICALTZINGO NO. 228,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86353,09PPR1024J,ANIBAL PONCE,19.337829,-99.081599,CALLE,3 DE MAYO COLONIA SAN JUAN XALPA NO. 44,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86344,-,TEJOCOTES,19.3247222,-99.0436111,AVENIDA,MANUEL CAÑAS,518,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86341,-,"SAN FRANCISCO I, II Y III",19.339786,-99.082407,CALLE,CARRIL,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86340,-,SAN LORENZO,19.34,-99.0830556,CALLE,CARRIL,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86150,-,ANTONIO Y EMILIA BALLESTEROS,19.314952,-99.065549,CALLE,REFORMA,155,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86147,09DST0111E,ESCUELA SECUNDARIA TECNICA 111,19.369404,-99.00513,CALLE,OYAMELES ESQUINA FRANCISCO CÉSAS MORALES.,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86146,09DST0106T,ESCUELA SECUNDARIA TÉCNICA 106,19.309931,-99.07592,CALLE,LERDO DE TEJADA ESQUINA DE LAS TORRES,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86134,09DST0025I,ESCUELA SECUNDARIA TECNICA 25,19.372479,-99.134816,CALLE,GRAN BRETAÑA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86130,09DSN0076E,MANUEL GAMIO,19.35788,-99.093384,CALZADA,ERMITA IZTAPALAPA,1220,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86121,09DPR5107O,IGNACIO MANUEL ALTAMIRANO,19.342112,-99.028051,CALLE,REFORMA AERONÁUTICA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86119,09DPR5097Y,PROFESOR JUAN RAMÍREZ MÁRQUEZ,19.347783,-99.029221,CALLE,LEONA VICARIO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86118,09DPR5093B,PROFESOR LEOPOLDO VELÁZQUEZ ACUÑA,19.361181,-99.075932,AVENIDA,GAVILÁN,33,SIN NÚMERO,TOTAL PLAY,TERRESTRE,INSTALADO
86108,09DPR5045S,CENTAURO DEL NORTE,19.292714,-99.072558,CALLE,Y LOS OLIVOS,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86107,09DPR5044T,RUFINÚMERO TAMAYO,19.372627,-99.005248,CALLE,ENCINOS,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86106,09DPR5037J,RAFAEL SOLANA,19.370327,-99.005589,CALLE,JACARANDAS,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86102,09DPR5015Y,MUJERES INSURGENTES,19.314733,-99.08915,CALLE,TÉCNICOS,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86100,09DPR4514N,MITLA,19.290603,-99.065447,CALLE,AREA DE SERVICIO DE LA MANZANA NUMERO 4,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86095,09DPR4221Z,TEODORO A. DEHESA,19.303377,-99.082661,CALLE,ONCE,160,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86089,09DPR4204J,MEXICO-JAPON,19.324371,-99.049438,CALLE,CHIMALPOPOCA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86084,09DPR4186K,PROFESOR MARCELINÚMERO RENTERÍA,19.326545,-99.053613,CALLE,SOL,2,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86078,09DPR4159N,PROFESOR ENRIQUE GONZÁLEZ APARICIO,19.347604,-98.995076,AVENIDA,DE LAS TORRE,1,SIN NÚMERO,TOTAL PLAY,TERRESTRE,IMPLEMENTADO
86077,09DPR4157P,PROFESOR EFRAÍN BONILLA MANZANO,19.362444,-99.010997,CALLE,FRANCISCO I. MADERO,4,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86076,09DPR4153T,PROFESORA ALICIA MARTÍNEZ MONTOYA,19.373828,-99.023543,CALLE,LUIS GARCÍA,85,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86074,09DPR4018O,PABLO PICASSO,19.33679,-99.046491,CALLE,ÚRSULO GALVÁN,76,SIN NÚMERO,TOTAL PLAY,TERRESTRE,IMPLEMENTADO
86068,09DPR3298H,PROFESORA MARÍA HAZAS VARGAS,19.346837,-98.995309,CALLE,PÍPILA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86066,09DPR3291O,PROFESOR GAUDENCIO PERAZA,19.348921,-98.989554,AVENIDA,UNIÓN DE COLONOS,6,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86065,09DPR3266P,PROFRA. AURORA PARRA PEREZ,19.359709,-99.081846,CALLE,GREGORIO TORRES QUINTERO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86064,09DPR3255J,PROFESOR GERARDO BRUNÚMERO SEVILLA HERNÁNDEZ,19.335496,-99.062363,CALLE,JOSÉ JOAQUÍN HERRERA,14,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86063,09DPR3252M,ADOLFO CISNEROS CAMARA,19.37626,-99.070901,CALLE,10 DE AGOSTO,1860,42,TOTAL PLAY,TERRESTRE,IMPLEMENTADO
86060,09DPR3239S,CONSTITUYENTE CELESTINO PEREZ Y PEREZ,19.367007,-99.001578,AVENIDA,SENTIMIENTO A LA NACIÓN,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86059,09DPR3236V,PROFRA. ELISA ACUÑA Y ROSSETTI,19.351384,-99.004274,AVENIDA,CUAUHTÉMOC,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86056,09DPR3228M,PROFESOR AGUSTÍN CUE CANOVAS,19.326964,-99.079882,CALLE,CATARROJA,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,IMPLEMENTADO
86053,09DPR3212L,GENOVEVA CORTES,19.334784,-99.041749,CALLE,VILLA ASCASURI,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,INSTALADO
86044,09DPR3155K,PROFESOR MANUEL VILLASEÑOR,19.333811,-99.049926,CALLE,AGUSTÍN MELGAR,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86043,09DPR3154L,REPUBLICA DE GUATEMALA,19.358674,-99.09399,CALLE,IGNACIO COMONFORT,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86037,09DPR3099I,EL SEGURO DEL MAESTRO,19.362525,-98.995542,ANDADOR,CHITO VILLAGRÁN,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86033,09DPR3045E,MI PATRIA ES PRIMERO,19.361597,-99.059692,CALLE,3 RICARDO JAIME,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,IMPLEMENTADO
86022,09DPR3000I,AÑO INTERNACIONAL DEL NIÑO,19.367054,-98.998243,RETORNO,CUARÁCUARO-ERMITA,42,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86021,09DPR2996W,PROFESOR CASTULO RAMÍREZ LUGO,19.379068,-99.018257,CALLE,FERNANDO ARRUTI,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86020,09DPR2995X,ARTURO ROSENBLUETH,19.352612,-98.996315,CALLE,MATAMOROS,1,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86010,09DPR2947N,GENERAL HERMINIO CHAVARRIA,19.356856,-99.033279,CALLE,VENUSTIANO CARRANZA,34,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86008,09DPR2939E,REPUBLICA POPULAR SOCIALISTA DE ALBANIA,19.355544,-99.023985,CALLE,PRIMERA DE MÉXICO,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86006,09DPR2921F,LICENCIADO JOSÉ MARÍA LAFRAGUA,19.356764,-99.016123,CALLE,IGNACIO ALLENDE,77,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86005,09DPR2920G,REPÚBLICA SOCIALISTA DE VIETNAM,19.339519,-99.017646,CALLE,PAPAYA,2,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86004,09DPR2918S,JEFATURA DE SECTOR DE EDUCACIÓN PRIMARIA GENERAL NÚMERO 11,19.332321,-99.060136,CALLE,GENERAL ABELARDO L. RODRÍGUEZ,31,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86002,09DPR2916U,CERRO DE LA ESTRELLA,19.345368,-99.102568,CALLE,CUAUHTÉMOC,54,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86001,09DPR2913X,GUILLERMO PRIETO,19.389557,-99.040024,CALLE,JUAN MANUEL TORREA,30,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
86000,09DPR2907M,DOCTOR IGNACIO CHÁVEZ,19.381771,-99.035456,CALLE,FUERTE DE GUADALUPE,24,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
85999,09DPR2904P,REPUBLICA POPULAR DE POLONIA,19.345171,-99.039043,CALLE,31,25,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
85996,09DPR2891B,MARÍA ENRIQUETA CAMARILLO,19.364446,-99.002405,ANDADOR,PONCE DE LEÓN,58,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
85994,09DPR2864E,PLAN DE SAN LUIS,19.344674,-99.109356,AVENIDA,JUÁREZ,4,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
85993,-,PROFESOR JOSÉ PALOMAREZ QUIROS,19.359722,-99.093056,CALLE,JOAQUÍN IBARGUEN,2,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
85992,09DPR2850B,PROFESOR JOSÉ PALOMAREZ QUIROS,19.36817,-99.027623,CALLE,JOAQUÍN IBARGUEN,2,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
85990,09DPR2844R,LIC. ANTONIO DIAZ SOTO Y GAMA,19.336545,-99.056523,PRIVADA,DE BENJAMÍN HILL,1,SIN NÚMERO,TOTAL PLAY,TERRESTRE,IMPLEMENTADO
85982,09DPR2805P,ISIDRO FABELA,19.379593,-99.024966,CALZADA,IGNACIO ZARAGOZA,2300,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
85978,09DPR2780X,CARLOS DARWIN,19.33912,-99.085125,CALLE,3,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
85972,09DPR2747P,MAESTRO DOMINGO TIRADO BENEDI,19.340817,-99.068246,CALLE,RAFAEL SIERRA,79,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
85952,09DPR2650D,NICOLAS GARCIA DE SAN VICENTE,19.36389,-98.997988,CALLE,CHILPANCINGO SUR,60,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
85949,09DPR2644T,FRANCISCO MARQUEZ,19.360948,-99.014411,AVENIDA,YUCATÁN,30,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
85937,09DPR2531Q,ANIBAL PONCE,19.336523,-99.018843,AVENIDA,DE LAS MINAS,105,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
85927,09DPR2470T,PROFR. RAFAEL LOPEZ,19.366453,-98.994008,CERRADA,APATZINGÁN,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
85900,09DPR2288U,JUAN RODRÍGUEZ PUEBLA,19.377638,-99.016012,CALLE,MANUEL PÉREZ ROMERO,126,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
85897,09DPR2271U,LOS DERECHOS DEL NIÑO,19.345504,-99.036018,CALLE,17,SIN NÚMERO,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
85895,09DPR2249S,LIC. MARIANO OTERO,19.333561,-99.105792,AVENIDA,GOBERNACIÓN,19,SIN NÚMERO,TOTAL PLAY,TERRESTRE,OPERACIÓN
